Date;Year;Competition;CompetitionSet;Comp.SetDetail;Sport;Discipline;Gender;Class;Phase;Rank;Medal;Team Members;Person/Team;Person;Person First Name;Person Last Name;PersonGender;Team;Nationality;DoB;YoB;Age (days);Age;Country;Country Code;Continent;Result;Sec/Mtr/Pts;Host City;Host Country;Host Continent;# Participants;# Countries;# Continents;World Ranking;Rank Within Country;Is Olympic Discipline
18.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;15km Individual;Women;Seniors;;20;;No;Aita Gasparin (SUI, 09 Feb 1994);Aita Gasparin;Aita;Gasparin;Women;Switzerland;SUI;09.02.1994;;31-009;31;Switzerland;SUI;Europe;44:33.4;2 673;Lenzerheide;Switzerland;Europe;93;30;5;;3;Yes
18.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;15km Individual;Women;Seniors;;62;;No;Elisa Gasparin (SUI, 02 Dec 1991);Elisa Gasparin;Elisa;Gasparin;Women;Switzerland;SUI;02.12.1991;;33-078;33;Switzerland;SUI;Europe;48:07.8;2 888;Lenzerheide;Switzerland;Europe;93;30;5;;4;Yes
16.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;10km Pursuit;Women;Seniors;;5;;No;Lena Häcki-Groß (SUI, 01 Jul 1995);Lena Häcki-Groß;Lena;Häcki-Groß;Women;Switzerland;SUI;01.07.1995;;29-230;29;Switzerland;SUI;Europe;28:27.2;1 707;Lenzerheide;Switzerland;Europe;58;21;2;;1;Yes
16.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;10km Pursuit;Women;Seniors;;21;;No;Aita Gasparin (SUI, 09 Feb 1994);Aita Gasparin;Aita;Gasparin;Women;Switzerland;SUI;09.02.1994;;31-007;31;Switzerland;SUI;Europe;29:51.9;1 792;Lenzerheide;Switzerland;Europe;58;21;2;;2;Yes
16.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;10km Pursuit;Women;Seniors;;38;;No;Elisa Gasparin (SUI, 02 Dec 1991);Elisa Gasparin;Elisa;Gasparin;Women;Switzerland;SUI;02.12.1991;;33-076;33;Switzerland;SUI;Europe;31:05.0;1 865;Lenzerheide;Switzerland;Europe;58;21;2;;3;Yes
16.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;12.5km Pursuit;Men;Seniors;;18;;No;Niklas Hartweg (SUI, 01 Mar 2000);Niklas Hartweg;Niklas;Hartweg;Men;Switzerland;SUI;01.03.2000;;24-352;24;Switzerland;SUI;Europe;34:56.3;2 096;Lenzerheide;Switzerland;Europe;60;21;2;;1;Yes
16.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;12.5km Pursuit;Men;Seniors;;27;;No;Sebastian Stalder (SUI, 19 Jan 1998);Sebastian Stalder;Sebastian;Stalder;Men;Switzerland;SUI;19.01.1998;;27-028;27;Switzerland;SUI;Europe;35:46.5;2 147;Lenzerheide;Switzerland;Europe;60;21;2;;2;Yes
16.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;12.5km Pursuit;Men;Seniors;;28;;No;Joscha Burkhalter (SUI, 11 Jul 1996);Joscha Burkhalter;Joscha;Burkhalter;Men;Switzerland;SUI;11.07.1996;;28-220;28;Switzerland;SUI;Europe;35:59.7;2 160;Lenzerheide;Switzerland;Europe;60;21;2;;3;Yes
16.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;12.5km Pursuit;Men;Seniors;;DNF;;No;Jeremy Finello (SUI, 13 May 1992);Jeremy Finello;Jeremy;Finello;Men;Switzerland;SUI;13.05.1992;;32-279;32;Switzerland;SUI;Europe;;;Lenzerheide;Switzerland;Europe;60;21;2;;0;Yes
15.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;10km Sprint;Men;Seniors;;13;;No;Sebastian Stalder (SUI, 19 Jan 1998);Sebastian Stalder;Sebastian;Stalder;Men;Switzerland;SUI;19.01.1998;;27-027;27;Switzerland;SUI;Europe;23:03.0;1 383;Lenzerheide;Switzerland;Europe;98;30;5;;1;Yes
15.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;10km Sprint;Men;Seniors;;19;;No;Niklas Hartweg (SUI, 01 Mar 2000);Niklas Hartweg;Niklas;Hartweg;Men;Switzerland;SUI;01.03.2000;;24-351;24;Switzerland;SUI;Europe;23:24.3;1 404;Lenzerheide;Switzerland;Europe;98;30;5;;2;Yes
15.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;10km Sprint;Men;Seniors;;21;;No;Joscha Burkhalter (SUI, 11 Jul 1996);Joscha Burkhalter;Joscha;Burkhalter;Men;Switzerland;SUI;11.07.1996;;28-219;28;Switzerland;SUI;Europe;23:26.2;1 406;Lenzerheide;Switzerland;Europe;98;30;5;;3;Yes
15.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;10km Sprint;Men;Seniors;;59;;No;Jeremy Finello (SUI, 13 May 1992);Jeremy Finello;Jeremy;Finello;Men;Switzerland;SUI;13.05.1992;;32-278;32;Switzerland;SUI;Europe;24:47.3;1 487;Lenzerheide;Switzerland;Europe;98;30;5;;4;Yes
14.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;7.5km Sprint;Women;Seniors;;4;;No;Lena Häcki-Groß (SUI, 01 Jul 1995);Lena Häcki-Groß;Lena;Häcki-Groß;Women;Switzerland;SUI;01.07.1995;;29-228;29;Switzerland;SUI;Europe;22:20.1;1 340;Lenzerheide;Switzerland;Europe;92;30;5;;1;Yes
14.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;7.5km Sprint;Women;Seniors;;37;;No;Elisa Gasparin (SUI, 02 Dec 1991);Elisa Gasparin;Elisa;Gasparin;Women;Switzerland;SUI;02.12.1991;;33-074;33;Switzerland;SUI;Europe;24:16.7;1 457;Lenzerheide;Switzerland;Europe;92;30;5;;2;Yes
14.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;7.5km Sprint;Women;Seniors;;41;;No;Aita Gasparin (SUI, 09 Feb 1994);Aita Gasparin;Aita;Gasparin;Women;Switzerland;SUI;09.02.1994;;31-005;31;Switzerland;SUI;Europe;24:23.2;1 463;Lenzerheide;Switzerland;Europe;92;30;5;;3;Yes
14.02.2025;2025;IBU World Championships;World Championships;IBU World Championships;Biathlon;7.5km Sprint;Women;Seniors;;61;;No;Amy Baserga (SUI, 29 Sep 2000);Amy Baserga;Amy;Baserga;Women;Switzerland;SUI;29.09.2000;;24-138;24;Switzerland;SUI;Europe;24:58.8;1 499;Lenzerheide;Switzerland;Europe;92;30;5;;4;Yes
23.03.2025;2025;Oslo;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;12.5km Mass Start;Women;Seniors;;14;;No;Amy Baserga (SUI, 29 Sep 2000);Amy Baserga;Amy;Baserga;Women;Switzerland;SUI;29.09.2000;;24-175;24;Switzerland;SUI;Europe;39:47.2;2 387;Oslo;Norway;Europe;30;15;1;;1;Yes
23.03.2025;2025;Oslo;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;12.5km Mass Start;Women;Seniors;;22;;No;Lena Häcki-Groß (SUI, 01 Jul 1995);Lena Häcki-Groß;Lena;Häcki-Groß;Women;Switzerland;SUI;01.07.1995;;29-265;29;Switzerland;SUI;Europe;40:46.8;2 447;Oslo;Norway;Europe;30;15;1;;2;Yes
23.03.2025;2025;Oslo;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;12.5km Mass Start;Women;Seniors;;24;;No;Aita Gasparin (SUI, 09 Feb 1994);Aita Gasparin;Aita;Gasparin;Women;Switzerland;SUI;09.02.1994;;31-042;31;Switzerland;SUI;Europe;41:07.3;2 467;Oslo;Norway;Europe;30;15;1;;3;Yes
23.03.2025;2025;Oslo;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;15km Mass Start;Men;Seniors;;30;;No;Niklas Hartweg (SUI, 01 Mar 2000);Niklas Hartweg;Niklas;Hartweg;Men;Switzerland;SUI;01.03.2000;;25-022;25;Switzerland;SUI;Europe;46:41.8;2 802;Oslo;Norway;Europe;30;11;2;;1;Yes
22.03.2025;2025;Oslo;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Pursuit;Women;Seniors;;3;B;No;Lena Häcki-Groß (SUI, 01 Jul 1995);Lena Häcki-Groß;Lena;Häcki-Groß;Women;Switzerland;SUI;01.07.1995;;29-264;29;Switzerland;SUI;Europe;30:41.1;1 841;Oslo;Norway;Europe;57;19;2;;1;Yes
22.03.2025;2025;Oslo;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Pursuit;Women;Seniors;;11;;No;Aita Gasparin (SUI, 09 Feb 1994);Aita Gasparin;Aita;Gasparin;Women;Switzerland;SUI;09.02.1994;;31-041;31;Switzerland;SUI;Europe;31:13.5;1 874;Oslo;Norway;Europe;57;19;2;;2;Yes
22.03.2025;2025;Oslo;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Pursuit;Women;Seniors;;13;;No;Amy Baserga (SUI, 29 Sep 2000);Amy Baserga;Amy;Baserga;Women;Switzerland;SUI;29.09.2000;;24-174;24;Switzerland;SUI;Europe;31:21.7;1 882;Oslo;Norway;Europe;57;19;2;;3;Yes
22.03.2025;2025;Oslo;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Pursuit;Women;Seniors;;50;;No;Elisa Gasparin (SUI, 02 Dec 1991);Elisa Gasparin;Elisa;Gasparin;Women;Switzerland;SUI;02.12.1991;;33-110;33;Switzerland;SUI;Europe;33:52.5;2 033;Oslo;Norway;Europe;57;19;2;;4;Yes
22.03.2025;2025;Oslo;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;12.5km Pursuit;Men;Seniors;;52;;No;Sebastian Stalder (SUI, 19 Jan 1998);Sebastian Stalder;Sebastian;Stalder;Men;Switzerland;SUI;19.01.1998;;27-062;27;Switzerland;SUI;Europe;36:57.8;2 218;Oslo;Norway;Europe;57;19;2;;1;Yes
22.03.2025;2025;Oslo;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;12.5km Pursuit;Men;Seniors;;DNS;;No;Niklas Hartweg (SUI, 01 Mar 2000);Niklas Hartweg;Niklas;Hartweg;Men;Switzerland;SUI;01.03.2000;;25-021;25;Switzerland;SUI;Europe;;;Oslo;Norway;Europe;57;19;2;;0;Yes
21.03.2025;2025;Oslo;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;7.5km Sprint;Women;Seniors;;6;;No;Amy Baserga (SUI, 29 Sep 2000);Amy Baserga;Amy;Baserga;Women;Switzerland;SUI;29.09.2000;;24-173;24;Switzerland;SUI;Europe;21:39.3;1 299;Oslo;Norway;Europe;112;30;5;;1;Yes
21.03.2025;2025;Oslo;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;7.5km Sprint;Women;Seniors;;7;;No;Lena Häcki-Groß (SUI, 01 Jul 1995);Lena Häcki-Groß;Lena;Häcki-Groß;Women;Switzerland;SUI;01.07.1995;;29-263;29;Switzerland;SUI;Europe;21:41.6;1 302;Oslo;Norway;Europe;112;30;5;;2;Yes
21.03.2025;2025;Oslo;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;7.5km Sprint;Women;Seniors;;10;;No;Aita Gasparin (SUI, 09 Feb 1994);Aita Gasparin;Aita;Gasparin;Women;Switzerland;SUI;09.02.1994;;31-040;31;Switzerland;SUI;Europe;21:44.9;1 305;Oslo;Norway;Europe;112;30;5;;3;Yes
21.03.2025;2025;Oslo;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;7.5km Sprint;Women;Seniors;;38;;No;Elisa Gasparin (SUI, 02 Dec 1991);Elisa Gasparin;Elisa;Gasparin;Women;Switzerland;SUI;02.12.1991;;33-109;33;Switzerland;SUI;Europe;22:26.9;1 347;Oslo;Norway;Europe;112;30;5;;4;Yes
21.03.2025;2025;Oslo;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;7.5km Sprint;Women;Seniors;;82;;No;Lea Meier (SUI, 02 Mar 2001);Lea Meier;Lea;Meier;Women;Switzerland;SUI;02.03.2001;;24-019;24;Switzerland;SUI;Europe;23:29.2;1 409;Oslo;Norway;Europe;112;30;5;;5;Yes
21.03.2025;2025;Oslo;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Sprint;Men;Seniors;;22;;No;Niklas Hartweg (SUI, 01 Mar 2000);Niklas Hartweg;Niklas;Hartweg;Men;Switzerland;SUI;01.03.2000;;25-020;25;Switzerland;SUI;Europe;26:38.9;1 599;Oslo;Norway;Europe;106;26;3;;1;Yes
21.03.2025;2025;Oslo;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Sprint;Men;Seniors;;41;;No;Sebastian Stalder (SUI, 19 Jan 1998);Sebastian Stalder;Sebastian;Stalder;Men;Switzerland;SUI;19.01.1998;;27-061;27;Switzerland;SUI;Europe;27:06.3;1 626;Oslo;Norway;Europe;106;26;3;;2;Yes
21.03.2025;2025;Oslo;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Sprint;Men;Seniors;;65;;No;Dajan Danuser (SUI, 26 Feb 1996);Dajan Danuser;Dajan;Danuser;Men;Switzerland;SUI;26.02.1996;;29-023;29;Switzerland;SUI;Europe;27:47.6;1 668;Oslo;Norway;Europe;106;26;3;;3;Yes
21.03.2025;2025;Oslo;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Sprint;Men;Seniors;;68;;No;Joscha Burkhalter (SUI, 11 Jul 1996);Joscha Burkhalter;Joscha;Burkhalter;Men;Switzerland;SUI;11.07.1996;;28-253;28;Switzerland;SUI;Europe;27:58.4;1 678;Oslo;Norway;Europe;106;26;3;;4;Yes
21.03.2025;2025;Oslo;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Sprint;Men;Seniors;;90;;No;Gion Stalder (SUI, 19 Jul 1999);Gion Stalder;Gion;Stalder;Men;Switzerland;SUI;19.07.1999;;25-245;25;Switzerland;SUI;Europe;29:08.9;1 749;Oslo;Norway;Europe;106;26;3;;5;Yes
15.03.2025;2025;Pokljuka;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;12.5km Mass Start;Women;Seniors;;19;;No;Aita Gasparin (SUI, 09 Feb 1994);Aita Gasparin;Aita;Gasparin;Women;Switzerland;SUI;09.02.1994;;31-034;31;Switzerland;SUI;Europe;41:17.9;2 478;Pokljuka;Slovenia;Europe;30;12;1;;1;Yes
15.03.2025;2025;Pokljuka;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;12.5km Mass Start;Women;Seniors;;21;;No;Elisa Gasparin (SUI, 02 Dec 1991);Elisa Gasparin;Elisa;Gasparin;Women;Switzerland;SUI;02.12.1991;;33-103;33;Switzerland;SUI;Europe;41:39.1;2 499;Pokljuka;Slovenia;Europe;30;12;1;;2;Yes
15.03.2025;2025;Pokljuka;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;12.5km Mass Start;Women;Seniors;;28;;No;Amy Baserga (SUI, 29 Sep 2000);Amy Baserga;Amy;Baserga;Women;Switzerland;SUI;29.09.2000;;24-167;24;Switzerland;SUI;Europe;43:04.4;2 584;Pokljuka;Slovenia;Europe;30;12;1;;3;Yes
15.03.2025;2025;Pokljuka;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;12.5km Mass Start;Women;Seniors;;30;;No;Lena Häcki-Groß (SUI, 01 Jul 1995);Lena Häcki-Groß;Lena;Häcki-Groß;Women;Switzerland;SUI;01.07.1995;;29-257;29;Switzerland;SUI;Europe;44:16.8;2 657;Pokljuka;Slovenia;Europe;30;12;1;;4;Yes
15.03.2025;2025;Pokljuka;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;15km Mass Start;Men;Seniors;;7;;No;Niklas Hartweg (SUI, 01 Mar 2000);Niklas Hartweg;Niklas;Hartweg;Men;Switzerland;SUI;01.03.2000;;25-014;25;Switzerland;SUI;Europe;37:05.9;2 226;Pokljuka;Slovenia;Europe;30;13;2;;1;Yes
08.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Pursuit;Women;Seniors;;19;;No;Aita Gasparin (SUI, 09 Feb 1994);Aita Gasparin;Aita;Gasparin;Women;Switzerland;SUI;09.02.1994;;31-027;31;Switzerland;SUI;Europe;33:13.3;1 993;Nové Mesto na Morave;Czech Republic;Europe;58;22;2;;1;Yes
08.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Pursuit;Women;Seniors;;26;;No;Amy Baserga (SUI, 29 Sep 2000);Amy Baserga;Amy;Baserga;Women;Switzerland;SUI;29.09.2000;;24-160;24;Switzerland;SUI;Europe;33:34.5;2 015;Nové Mesto na Morave;Czech Republic;Europe;58;22;2;;2;Yes
08.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Pursuit;Women;Seniors;;42;;No;Lena Häcki-Groß (SUI, 01 Jul 1995);Lena Häcki-Groß;Lena;Häcki-Groß;Women;Switzerland;SUI;01.07.1995;;29-250;29;Switzerland;SUI;Europe;35:01.1;2 101;Nové Mesto na Morave;Czech Republic;Europe;58;22;2;;3;Yes
08.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;12.5km Pursuit;Men;Seniors;;6;;No;Niklas Hartweg (SUI, 01 Mar 2000);Niklas Hartweg;Niklas;Hartweg;Men;Switzerland;SUI;01.03.2000;;25-007;25;Switzerland;SUI;Europe;33:36.9;2 017;Nové Mesto na Morave;Czech Republic;Europe;58;20;2;;1;Yes
08.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;12.5km Pursuit;Men;Seniors;;23;;No;Joscha Burkhalter (SUI, 11 Jul 1996);Joscha Burkhalter;Joscha;Burkhalter;Men;Switzerland;SUI;11.07.1996;;28-240;28;Switzerland;SUI;Europe;35:03.6;2 104;Nové Mesto na Morave;Czech Republic;Europe;58;20;2;;2;Yes
08.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;12.5km Pursuit;Men;Seniors;;29;;No;Sebastian Stalder (SUI, 19 Jan 1998);Sebastian Stalder;Sebastian;Stalder;Men;Switzerland;SUI;19.01.1998;;27-048;27;Switzerland;SUI;Europe;35:48.0;2 148;Nové Mesto na Morave;Czech Republic;Europe;58;20;2;;3;Yes
07.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;7.5km Sprint;Women;Seniors;;18;;No;Amy Baserga (SUI, 29 Sep 2000);Amy Baserga;Amy;Baserga;Women;Switzerland;SUI;29.09.2000;;24-159;24;Switzerland;SUI;Europe;20:17.9;1 218;Nové Mesto na Morave;Czech Republic;Europe;101;27;4;;1;Yes
07.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;7.5km Sprint;Women;Seniors;;20;;No;Aita Gasparin (SUI, 09 Feb 1994);Aita Gasparin;Aita;Gasparin;Women;Switzerland;SUI;09.02.1994;;31-026;31;Switzerland;SUI;Europe;20:19.6;1 220;Nové Mesto na Morave;Czech Republic;Europe;101;27;4;;2;Yes
07.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;7.5km Sprint;Women;Seniors;;42;;No;Lena Häcki-Groß (SUI, 01 Jul 1995);Lena Häcki-Groß;Lena;Häcki-Groß;Women;Switzerland;SUI;01.07.1995;;29-249;29;Switzerland;SUI;Europe;20:55.5;1 256;Nové Mesto na Morave;Czech Republic;Europe;101;27;4;;3;Yes
07.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;7.5km Sprint;Women;Seniors;;67;;No;Elisa Gasparin (SUI, 02 Dec 1991);Elisa Gasparin;Elisa;Gasparin;Women;Switzerland;SUI;02.12.1991;;33-095;33;Switzerland;SUI;Europe;21:34.3;1 294;Nové Mesto na Morave;Czech Republic;Europe;101;27;4;;4;Yes
07.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;7.5km Sprint;Women;Seniors;;73;;No;Susanna Meinen (SUI, 19 May 1992);Susanna Meinen;Susanna;Meinen;Women;Switzerland;SUI;19.05.1992;;32-292;32;Switzerland;SUI;Europe;21:52.3;1 312;Nové Mesto na Morave;Czech Republic;Europe;101;27;4;;5;Yes
06.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Sprint;Men;Seniors;;10;;No;Niklas Hartweg (SUI, 01 Mar 2000);Niklas Hartweg;Niklas;Hartweg;Men;Switzerland;SUI;01.03.2000;;25-005;25;Switzerland;SUI;Europe;23:53.9;1 434;Nové Mesto na Morave;Czech Republic;Europe;94;24;3;;1;Yes
06.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Sprint;Men;Seniors;;21;;No;Joscha Burkhalter (SUI, 11 Jul 1996);Joscha Burkhalter;Joscha;Burkhalter;Men;Switzerland;SUI;11.07.1996;;28-238;28;Switzerland;SUI;Europe;24:30.4;1 470;Nové Mesto na Morave;Czech Republic;Europe;94;24;3;;2;Yes
06.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Sprint;Men;Seniors;;47;;No;Sebastian Stalder (SUI, 19 Jan 1998);Sebastian Stalder;Sebastian;Stalder;Men;Switzerland;SUI;19.01.1998;;27-046;27;Switzerland;SUI;Europe;25:29.8;1 530;Nové Mesto na Morave;Czech Republic;Europe;94;24;3;;3;Yes
06.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Sprint;Men;Seniors;;67;;No;Arnaud Du Pasquier (SUI, 26 Oct 1992);Arnaud Du Pasquier;Arnaud;Du Pasquier;Men;Switzerland;SUI;26.10.1992;;32-131;32;Switzerland;SUI;Europe;26:12.5;1 573;Nové Mesto na Morave;Czech Republic;Europe;94;24;3;;4;Yes
06.03.2025;2025;Nové Mesto na Morave;(World) Cup/(World) Cup/(World) Cup;BMW IBU World Cup;Biathlon;10km Sprint;Men;Seniors;;72;;No;Dajan Danuser (SUI, 26 Feb 1996);Dajan Danuser;Dajan;Danuser;Men;Switzerland;SUI;26.02.1996;;29-008;29;Switzerland;SUI;Europe;26:17.1;1 577;Nové Mesto na Morave;Czech Republic;Europe;94;24;3;;5;Yes
19.02.2025;2025;IBU World Championships;(World) Cup;BMW IBU World Cup;Biathlon;20km Individual;Men;Seniors;;5;;No;Niklas Hartweg (SUI, 01 Mar 2000);Niklas Hartweg;Niklas;Hartweg;Men;Switzerland;SUI;01.03.2000;;24-355;24;Switzerland;SUI;Europe;50:13.6;3 014;Lenzerheide;Switzerland;Europe;97;31;5;;1;Yes
